Fecha, Edad, Rol, Calle, Zona, Tipo de resultado, Tipo de siniestro, Usa cinturón, Usa casco, Día de la semana, Sexo, Hora, Departamento, Localidad, Tipo de Vehiculo, fixed, X, Y 
16/2/2020,, 20, CONDUCTOR, MARIA STAGNERO DE MUNAR, URBANA    , HERIDO GRAVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO, 13, CANELONES, CANELONES, MOTO, 1, 565720, 6179840 
3/3/2020,, 60, CONDUCTOR, NO SE INGRESO, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, FEMENINO, 18, CANELONES, PARQUE DEL PLATA, AUTO, 1, 618265, 6153930 
3/3/2020,, 41, CONDUCTOR, NO SE INGRESO, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 18, CANELONES, PARQUE DEL PLATA, AUTO, 1, 618265, 6153930 
3/3/2020,, 77, CONDUCTOR, NO SE INGRESO, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 18, CANELONES, PARQUE DEL PLATA, AUTO, 1, 618265, 6153930 
3/3/2020,, 67, CONDUCTOR, BARRIO LAS CHACRAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, MARTES, MASCULINO, 18, ROCHA, CEBOLLATI, MOTO, 1, 799015, 6314400 
3/3/2020,, 70, CONDUCTOR, BARRIO LAS CHACRAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 18, ROCHA, CEBOLLATI, AUTO, 1, 799015, 6314400 
3/3/2020,, 9, PEATÓN, LIBERTADOR JUAN ANTONIO LAVALLEJA, URBANA    , HERIDO LEVE, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 20, MALDONADO, SAN CARLOS, SIN DATOS, 1, 691455, 6148815 
3/3/2020,, 24, CONDUCTOR, LIBERTADOR JUAN ANTONIO LAVALLEJA, URBANA    , ILESO, ATROPELLO DE PEATÓN, SIN DATOS, USA CASCO, MARTES, MASCULINO, 20, MALDONADO, SAN CARLOS, MOTO, 1, 691455, 6148815 
3/3/2020,, 47, CONDUCTOR, CAMINO DEL REGADIO, RURAL     , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 19, MONTEVIDEO, SIN DATOS, AUTO, 1, 586745, 6149280 
3/3/2020,, 16, PASAJERO, NO SE INGRESO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, MARTES, MASCULINO, 19, CERRO LARGO, ISIDORO NOBLIA, MOTO, 1, 771845, 6460655 
3/3/2020,, 20, CONDUCTOR, NO SE INGRESO, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, MARTES, MASCULINO, 19, CERRO LARGO, ISIDORO NOBLIA, MOTO, 1, 771845, 6460655 
