Fecha, Edad, Rol, Calle, Zona, Tipo de resultado, Tipo de siniestro, Usa cinturón, Usa casco, Día de la semana, Sexo, Hora, Departamento, Localidad, Tipo de Vehiculo, fixed, X, Y 
6/1/2022,, 19, CONDUCTOR, NACIONONES UNIDAS ESQUINA RUTA 3, SUBURBANA , ILESO, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 11, PAYSANDU, CHACRAS DE PAYSANDU, AUTO, 1, 400525, 6420715 
16/2/2022,, 31, CONDUCTOR, AVENIDA MANUEL ORIBE, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, MIÉRCOLES, MASCULINO, 3, SALTO, SALTO, MOTO, 1, 412005, 6527105 
16/2/2022,, 30, CONDUCTOR, AVENIDA MANUEL ORIBE, URBANA    , HERIDO LEVE, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, USA CASCO, MIÉRCOLES, MASCULINO, 3, SALTO, SALTO, MOTO, 1, 410850, 6527255 
6/1/2022,, 19, CONDUCTOR, VEINTIOCHO DE FEBRERO, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 11, SORIANO, MERCEDES, MOTO, 1, 403815, 6320005 
5/1/2022,, SIN DATOS, CONDUCTOR, AVENIDA ANTONIO LUSSICH, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, MIÉRCOLES, MASCULINO, 20, MALDONADO, LA SONRISA, BICICLETA, 1, 685060, 6136945 
5/1/2022,, 57, CONDUCTOR, AVENIDA ANTONIO LUSSICH, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MIÉRCOLES, MASCULINO, 20, MALDONADO, LA SONRISA, AUTO, 1, 685060, 6136945 
16/2/2022,, 63, CONDUCTOR, CAMINO CARRASCO, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, MIÉRCOLES, MASCULINO, 6, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 584375, 6140975 
6/1/2022,, 28, CONDUCTOR, AVENIDA JOSE BELLONI, SUBURBANA , ILESO, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 578565, 6145270 
6/1/2022,, 69, PEATÓN, AVENIDA JOSE BELLONI, SUBURBANA , HERIDO GRAVE, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, SIN DATOS, 1, 578565, 6145270 
6/1/2022,, 32, CONDUCTOR, AVENIDA DE LAS AMERICAS, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, JUEVES, FEMENINO, 12, CANELONES, BARRA DE CARRASCO, MOTO, 1, 588175, 6140355 
